id,name,watched,note,watched_at
6,Thor: O Mundo Sombrio,f,,
7,Homem de Ferro 3,f,,
8,Capitão América: Soldado Invernal,f,,
9,Guardiões da Galáxia,f,,
10,Guardiões da Galáxia Vol. 2,f,,
11,Vingadores: Era de Ultron,f,,
12,Homem-Formiga,f,,
13,Capitão América: Guerra Civil,f,,
14,Viúva Negra,f,,
15,Pantera Negra,f,,
16,Homem-Aranha: De Volta ao Lar,f,,
17,Doutor Estranho,f,,
18,Thor: Ragnarok,f,,
19,Homem-Formiga e a Vespa,f,,
20,Vingadores: Guerra Infinita,f,,
21,Vingadores: Ultimato,f,,
22,Homem-Aranha: Longe de Casa,f,,
23,Homem-Aranha: Sem Volta Para Casa,f,,
24,Eternos,f,,
25,Doutor Estranho no Multiverso da Loucura,f,,
26,Pantera Negra: Wakanda Para Sempre,f,,
27,Thor: Amor e Trovão,f,,
28,Homem-Formiga e a Vespa: Quantumania,f,,
29,Guardiões da Galáxia Vol. 3,f,,
30,Deadpool & Wolverine,f,,
3,Homem de Ferro 2,t,9.5,2026-06-30
92,Para todos os garotos que já amei,t,7.0,2026-06-30
1,Capitão América: O Primeiro Vingador,t,7.3,2026-06-27
2,Homem de Ferro,t,9.1,2026-07-28
91,Barbie:  A princesa da ilha,t,6.4,2026-07-28
379,Como Mágica,t,7.8,2026-07-06
444,Gato de botas 2,t,10.0,2026-07-09
478,You S1,f,,
477,Frozen,t,9.2,2026-07-12
5,Os Vingadores,t,8.4,2026-07-12
4,Thor,t,7.9,2026-07-12
511,Para todos os garotos que já amei 2,t,8.5,2026-07-12
544,Super-herói: o filme,t,7.6,2026-07-12
577,Como eu era antes de você,t,9.3,2026-07-12
610,Obsessão,t,9.7,2026-07-14
643,casamento sangrento,t,8.9,2026-07-14
677,12 horas para soibreviver\,f,,
678,Uma noite de crime,f,,
644,Casamento sangrento 2,t,6.5,2026-07-14
679,Uma noite de crime: Anarquia,t,7.0,2026-07-14
841,10 coisas que eu odeio em você,t,9.1,2026-07-17
906,Frozen 2,t,9.3,2026-07-18
1035,Sorria,f,,
744,O menu,t,7.9,2026-07-22
1100,Orgulho e preconceito,t,8.4,2026-07-25
1133,Cruella,t,9.2,2026-07-31
1134,Masterchef Brasil: Season 3,t,8.7,2026-07-31
